{' Yes': -0.0029946903, ' No': -6.6307826, 'Yes': -6.8748684, ' The': -7.6930256, ' yes': -9.08091}
{' Yes': -0.0032739188, ' No': -6.468252, 'Yes': -6.5620866, ' yes': -9.010096, ' The': -9.177473}
{' Yes': -0.15175737, ' No': -1.9830712, 'Yes': -6.2080193, 'No': -7.456389, ' The': -8.245139}
{' Yes': -0.03353885, ' No': -3.489765, 'Yes': -6.172193, ' The': -8.758979, 'No': -9.073191}
{' No': -0.0066626226, ' Yes': -5.5642185, 'No': -6.052782, ' The': -8.338339, ' Not': -8.935694}
{' No': -0.026922384, ' Yes': -4.173542, 'No': -4.59128, ' Not': -7.818022, '\n': -8.419626}
{' No': -0.0721428, ' Yes': -2.7505066, 'No': -5.387042, ' The': -7.5319695, 'Yes': -8.509092}
{' No': -0.012269929, 'No': -5.030245, ' Yes': -5.2912364, ' The': -8.214991, '\n': -8.679931}
{' No': -0.63156915, ' Yes': -0.76836425, 'No': -5.9120812, 'Yes': -6.6503677, ' The': -8.575493}
{' No': -0.3856847, ' Yes': -1.1654011, 'No': -5.108455, 'Yes': -6.775844, ' The': -7.521215}
{' No': -0.0063158656, 'No': -5.110539, ' Yes': -9.499138, ' The': -9.513861, ' Unfortunately': -10.37807}
{' No': -0.059780918, ' Yes': -3.0660636, 'No': -4.557429, 'Yes': -7.95818, ' The': -8.417677}
{' No': -0.38435414, ' Yes': -1.1582266, 'No': -5.8564153, ' The': -6.849432, 'Yes': -7.198864}
{' No': -0.016461086, ' Yes': -4.4474072, 'No': -5.5297227, ' The': -8.041128, '\n': -9.016253}
{' Yes': -0.12566708, ' No': -2.1530013, 'Yes': -6.7284727, 'No': -8.28225, ' The': -8.404954}
{' Yes': -0.008554669, ' No': -4.973219, 'Yes': -6.606249, ' The': -8.991035, ' yes': -9.668545}
{' No': -0.45365638, ' Yes': -1.0266563, 'No': -5.573722, 'Yes': -6.713105, ' The': -7.611787}
{' No': -0.10616618, ' Yes': -2.3982518, 'No': -4.86519, ' The': -7.3844213, 'Yes': -7.700282}
{' Yes': -0.530477, ' No': -0.90389013, 'No': -5.654985, 'Yes': -6.192584, ' The': -7.3364916}
{' No': -0.008466358, 'No': -4.8725467, ' Yes': -7.366515, '\n': -9.972373, ' The': -10.165727}
{' No': -0.62828326, ' Yes': -0.77803683, 'No': -5.6675572, ' The': -6.5934377, 'Yes': -6.683722}
{' No': -0.020931194, 'No': -4.455002, ' Yes': -4.801771, ' The': -8.142144, ' Not': -8.454665}
{' Yes': -0.0022900854, 'Yes': -6.119174, ' yes': -9.97482, '\n': -10.6045885, ' ': -11.588805}
{' Yes': -0.002256571, 'Yes': -6.124061, ' yes': -10.125439, ' The': -11.790154, '\n': -11.955676}
{' Yes': -0.4872961, ' No': -0.9698153, 'No': -6.250403, ' Not': -6.3296514, 'Yes': -6.379042}
{' No': -0.046557654, ' Yes': -3.2263138, 'No': -5.300193, ' The': -7.94448, ' Not': -8.70865}
{' Yes': -0.48780778, ' No': -0.96519434, 'Yes': -6.2659235, 'No': -6.358485, ' The': -6.9795046}
{' Yes': -0.6377979, ' No': -0.76563036, 'No': -5.726369, 'Yes': -6.008682, ' The': -7.683477}
{' No': -0.017995946, ' Yes': -4.2591777, 'No': -5.8202033, '\n': -7.9372783, ' The': -8.953889}
{' No': -0.27906418, ' Yes': -1.4339733, 'No': -5.637005, 'Yes': -7.2823615, ' The': -8.104572}
{' No': -0.021065773, 'No': -4.2070837, ' Yes': -5.199904, ' The': -8.600393, ' Not': -9.320636}
{' No': -0.40171453, ' Yes': -1.1238216, 'No': -5.580581, 'Yes': -6.789327, ' Not': -7.9927006}
{' Yes': -0.63896513, ' No': -0.75848156, 'No': -6.474055, 'Yes': -6.780513, ' The': -7.214425}
{' No': -0.021447586, ' Yes': -4.017625, 'No': -5.819988, ' The': -9.016313, '\n': -10.036515}
{' Yes': -0.20573287, ' No': -1.7167821, 'Yes': -5.4370027, 'No': -6.995249, ' The': -7.206396}
{' No': -0.15047376, ' Yes': -2.026687, 'No': -5.1040854, 'Yes': -6.908101, ' The': -7.667981}
{' No': -0.3246234, ' Yes': -1.3043712, 'No': -5.6252975, 'Yes': -6.995571, ' The': -7.054537}
{' No': -0.061062973, ' Yes': -2.981517, 'No': -4.859334, ' The': -8.154897, 'Yes': -8.281293}
{' Yes': -0.06358356, ' No': -2.8355732, 'Yes': -6.1585574, ' The': -8.164794, 'No': -8.383552}
