{' Yes': -0.017299628, ' No': -4.178966, 'Yes': -6.4146748, 'No': -10.048907, ' Nope': -10.280585}
{' Yes': -0.0037284475, 'Yes': -6.2227354, ' No': -6.4569616, '\n': -10.001153, ' YES': -10.409516}
{' Yes': -0.0049832817, ' No': -5.8285394, 'Yes': -6.4496903, ' Pizza': -8.113286, ' yes': -10.387181}
{' Yes': -0.02856478, ' No': -3.6423478, 'Yes': -6.347285, 'No': -9.240698, ' Nope': -10.351759}
{' Yes': -0.01594914, 'Yes': -4.839826, ' Snake': -4.9610343, ' Sn': -8.404271, ' YES': -8.730228}
{' Yes': -0.0061105685, 'Yes': -5.3759565, ' Snake': -6.815976, ' YES': -9.13466, ' yes': -9.1664095}
{' Yes': -0.04654542, ' Laugh': -3.4466858, ' No': -4.7333775, 'Yes': -5.863323, ' Nope': -7.519079}
{' Yes': -0.057548355, ' Laugh': -3.2132697, ' No': -4.592729, 'Yes': -5.738349, ' L': -7.33784}
{' Yes': -0.036528986, ' No': -3.4473546, 'Yes': -5.7162642, 'No': -8.016938, ' yes': -9.075953}
{' Yes': -0.03900892, ' No': -3.3542306, 'Yes': -5.8755026, 'No': -8.233723, ' yes': -9.346136}
{' No': -0.3202873, ' Yes': -1.3100142, 'No': -6.216466, ' Nope': -6.7033, 'Yes': -7.424629}
{' Yes': -0.0030597942, 'Yes': -6.14413, ' No': -7.2693553, ' Sure': -9.254017, '\n': -10.007854}
{' Yes': -0.033558454, ' Plane': -3.590956, 'Yes': -5.315562, ' No': -8.631849, ' yes': -8.903891}
{' Yes': -0.033530653, ' Plane': -3.5475266, 'Yes': -5.6352377, ' No': -8.091315, ' yes': -9.657142}
{' Yes': -0.002150418, 'Yes': -6.3260217, ' Found': -8.885169, ' No': -9.664435, ' yes': -9.702291}
{' Yes': -0.0018405108, 'Yes': -6.3546944, ' yes': -9.939822, ' No': -11.092011, ' YES': -11.106328}
{' Yes': -0.06498827, ' Uncle': -2.9863253, ' No': -4.980443, 'Yes': -6.0947156, ' Unc': -6.606295}
{' Yes': -0.16946472, ' No': -1.8937842, 'Yes': -6.030871, ' Nope': -6.73847, 'No': -7.2905793}
{' Yes': -0.002375818, 'Yes': -6.172483, ' No': -9.339208, ' yes': -10.032954, ' Sure': -10.197335}
{' Yes': -0.0018847624, 'Yes': -6.596512, ' No': -7.7009163, ' yes': -11.20179, '\n': -11.239543}
{' Yes': -0.0049333232, 'Yes': -5.9443417, ' Sleep': -6.3664904, ' yes': -8.347049, ' Yep': -9.143497}
{' Yes': -0.0021642782, 'Yes': -6.271865, ' yes': -9.079669, ' Sleep': -10.102145, ' YES': -10.212428}
{' No': -0.3837184, ' Yes': -1.1520728, 'No': -6.315099, 'Yes': -7.1112704, ' Nope': -10.877994}
{' Yes': -0.003819091, 'Yes': -5.9930687, ' No': -6.7857494, ' Close': -9.521486, ' yes': -10.6257305}
{' Yes': -0.006147508, ' No': -5.4923134, 'Yes': -6.403093, '\n': -8.294828, ' yes': -10.010711}
{' Yes': -0.0064589344, ' No': -5.4152036, 'Yes': -6.6017513, ' Te': -8.575356, '\n': -8.723488}
{' Yes': -0.0005354035, 'Yes': -7.585627, ' No': -11.601054, '\n': -12.132443, ' yes': -12.2318}
{' Yes': -0.00061227806, 'Yes': -7.444532, ' yes': -11.752649, ' No': -12.095015, '\n': -12.356634}
{' Yes': -0.0030614678, 'Yes': -5.922058, ' Drunk': -8.366957, ' yes': -9.781635, ' YES': -10.386818}
{' Yes': -0.003610413, 'Yes': -5.7008944, ' No': -8.86885, ' yes': -9.99804, ' YES': -10.860328}
{' No': -0.015819725, ' Yes': -4.352482, 'No': -5.9876914, ' Nope': -8.370577, '\n': -10.337251}
{' Yes': -0.03560794, ' No': -3.8910558, ' Min': -4.6518354, 'Yes': -5.5881567, ' M': -8.499033}
{' Yes': -0.0008202699, 'Yes': -7.1751122, ' yes': -10.418059, ' YES': -10.969302, '\n': -12.696809}
{' Yes': -0.00060369127, 'Yes': -7.460387, ' yes': -10.986091, ' YES': -12.037573, ' No': -13.086483}
{' Yes': -0.043016665, ' No': -3.2806418, 'Yes': -6.36025, ' Ch': -6.888445, ' Chal': -7.5576434}
{' Yes': -0.118642405, ' No': -2.210342, 'Yes': -6.4396415, 'No': -8.019198, ' Nope': -8.85908}
{' Yes': -0.0030148947, ' Woman': -6.547915, 'Yes': -6.6221986, ' No': -9.72887, ' yes': -9.944363}
{' Yes': -0.46692502, ' Woman': -1.0038818, 'Woman': -5.9069138, 'Yes': -6.490301, 'woman': -6.593553}
{' Yes': -0.0071570505, ' Party': -5.484843, 'Yes': -5.9126344, ' yes': -9.702939, ' YES': -9.793461}
{' Yes': -0.009711198, ' No': -5.2968564, 'Yes': -6.1382065, ' Party': -6.1787043, ' yes': -9.497124}
