{' Yes': -0.0022212046, 'Yes': -6.1538434, ' yes': -10.02856, '\n': -10.890599, ' YES': -11.135205}
{' Yes': -0.0024139977, 'Yes': -6.076403, ' yes': -9.872659, '\n': -10.753826, ' No': -11.031846}
{' Yes': -0.023649093, ' Candle': -4.358581, 'Yes': -5.170921, ' Cand': -5.462259, 'Cand': -8.548393}
{' Yes': -0.0016861609, 'Yes': -6.4931693, ' Sure': -9.862795, ' YES': -10.08984, ' yes': -10.358244}
{' Yes': -0.0055863853, 'Yes': -6.224721, ' Th': -6.2681136, ' Thr': -6.6584883, '\n': -8.6556}
{' Yes': -0.0018273152, 'Yes': -6.471, ' No': -8.645262, ' yes': -10.036508, '\n': -10.254112}
{' Yes': -0.0036699949, 'Yes': -5.7098465, ' No': -8.501936, ' yes': -9.764286, ' Bleach': -10.0763}
{' Yes': -0.0034464584, 'Yes': -5.7723207, ' Bleach': -9.188638, ' yes': -9.273811, ' Ble': -9.752641}
{' Yes': -0.0012736212, 'Yes': -6.697814, ' yes': -10.945157, '\n': -11.4380865, ' YES': -12.124061}
{' Yes': -0.0015979785, 'Yes': -6.4592676, ' yes': -11.17543, ' YES': -11.7858, '\n': -12.907888}
{' Yes': -0.0021806436, 'Yes': -6.2703247, ' No': -8.585184, ' yes': -9.9362545, ' YES': -10.904675}
{' Yes': -0.0022611686, 'Yes': -6.188999, ' No': -9.020733, ' yes': -9.97023, '\n': -11.231638}
{' Yes': -0.006228536, 'Yes': -5.65211, ' No': -6.604941, ' Indian': -6.914529, ' yes': -9.022102}
{' Yes': -0.4714772, ' No': -0.98949224, 'Yes': -6.2310157, 'No': -6.4416404, '\n': -8.4674835}
{' Yes': -0.027298901, ' Orange': -3.968766, ' No': -5.197867, 'Yes': -6.0867643, '\n': -9.895028}
{' Yes': -0.006566503, ' Orange': -5.658307, 'Yes': -6.001538, ' No': -7.7686644, '\n': -9.955554}
{' Yes': -0.0031426044, 'Yes': -5.9207335, ' Hungry': -8.3172245, '\n': -9.357585, ' No': -9.721555}
{' Yes': -0.0013075197, 'Yes': -6.783263, ' No': -9.042533, ' yes': -10.747323, ' YES': -10.981219}
{' Yes': -0.0508222, ' No': -3.033702, 'Yes': -6.713164, 'No': -9.0655775, ' yes': -10.755672}
{' No': -0.35820904, ' Yes': -1.2177595, 'No': -5.795077, 'Yes': -6.8914633, '\n': -7.4339075}
{' Yes': -0.0066837436, ' No': -5.7423615, 'Yes': -6.053629, ' Mirror': -7.12972, '\n': -8.926031}
{' Yes': -0.012739911, ' No': -4.43834, 'Yes': -7.1861687, 'No': -10.625149, '\n': -10.917145}
{' Yes': -0.00045382627, 'Yes': -7.7849593, ' yes': -10.86906, ' YES': -11.162696, 'yes': -13.455979}
{' Yes': -0.00088004506, 'Yes': -7.066422, ' yes': -11.502042, ' YES': -11.907859, '\n': -12.342275}
{' Yes': -0.0059607737, 'Yes': -5.488867, ' Pepper': -7.072146, ' No': -7.845904, ' Pe': -8.05201}
{' Yes': -0.0031824268, 'Yes': -6.0282483, ' No': -7.6647153, ' yes': -9.160651, '\n': -9.680888}
{' Yes': -0.0036842932, 'Yes': -5.629176, ' yes': -10.188231, ' YES': -11.357013, '\n': -11.3595915}
{' Yes': -0.0011636941, 'Yes': -6.81253, ' yes': -10.876537, ' Sure': -11.028904, ' YES': -11.362485}
{' Yes': -0.003122813, 'Yes': -6.005501, ' No': -7.8135624, ' yes': -9.5751, ' Neph': -9.689071}
{' Yes': -0.004879238, 'Yes': -5.9721184, ' No': -6.205673, ' yes': -9.505636, ' Neph': -9.760664}
{' Yes': -0.011359377, ' No': -5.285041, 'Yes': -5.8231997, ' Square': -6.1512575, ' Squ': -7.120282}
{' Yes': -0.009998748, ' No': -5.666734, 'Yes': -5.7302613, ' Squ': -6.4603596, ' Square': -6.6721935}
{' Yes': -0.0008714536, 'Yes': -7.0902686, ' Sure': -11.438945, ' yes': -11.608172, ' YES': -11.911405}
{' Yes': -0.0020425466, 'Yes': -6.249033, '\n': -10.339665, ' No': -10.593611, ' yes': -10.735696}
{' Yes': -0.0049437466, 'Yes': -5.430959, ' No': -7.8271956, ' yes': -9.947494, ' Leaves': -10.259688}
{' Yes': -0.0070180837, 'Yes': -5.0234766, ' Leaves': -9.097183, ' No': -9.404968, ' yes': -9.450102}
{' Yes': -0.0077293217, 'Yes': -5.6471047, ' Ending': -5.682291, ' No': -7.403546, ' yes': -9.778679}
{' Yes': -0.053900868, ' Ending': -3.497901, ' No': -4.463177, 'Yes': -4.67413, ' yes': -8.066752}
{' Yes': -0.037486702, ' Energy': -3.4038708, 'Yes': -5.7663026, 'Energy': -8.875279, '\n': -9.574363}
{' Yes': -0.008982907, ' Energy': -5.296111, 'Yes': -5.6235785, '\n': -9.258847, ' YES': -9.961728}
{' Yes': -0.00061156094, 'Yes': -7.5287986, ' yes': -10.685866, ' YES': -11.03921, ' Father': -11.258187}
{' Yes': -0.0013786046, 'Yes': -6.654378, '\n': -10.176343, ' YES': -11.044417, ' yes': -11.095744}
{' Yes': -0.001335514, 'Yes': -6.6853256, ' yes': -10.090496, ' YES': -10.788841, ' No': -11.716423}
{' Yes': -0.0024898828, 'Yes': -6.0408044, ' yes': -9.945267, '\n': -10.73945, ' YES': -11.475818}
{' Yes': -0.0028794908, 'Yes': -6.4581194, ' Street': -6.763768, ' yes': -9.71919, '\n': -9.998858}
{' Yes': -0.0009316502, 'Yes': -7.048278, '\n': -10.440554, ' YES': -11.089699, ' yes': -11.378326}
{' Yes': -0.001355984, 'Yes': -6.640844, '\n': -11.054895, ' yes': -11.321349, ' YES': -11.500426}
