{' 36': -2.1495728, ' 34': -2.2589011, ' 33': -2.2895482, ' 32': -2.5778565, ' 37': -2.752213}
{' 33': -2.0934014, ' 32': -2.553404, ' 34': -2.5658343, ' 30': -2.581839, ' 28': -2.9190867}
{' 33': -2.2027936, ' 34': -2.3998075, ' 32': -2.4211419, ' 28': -2.6446223, ' 30': -2.68193}
{' 33': -2.1488147, ' 34': -2.3970313, ' 32': -2.5514884, ' 36': -2.685903, ' 37': -2.785969}
{' 33': -1.9267571, ' 32': -2.2629502, ' 34': -2.2988408, ' 28': -2.831112, ' 36': -2.8525088}
{' 40': -2.3470418, ' 33': -2.4995124, ' 39': -2.7228932, ' 37': -2.7462041, ' 36': -2.7838178}
{' 33': -2.5146682, ' 32': -2.5869634, ' 28': -2.615074, ' 34': -2.8035877, ' 24': -2.8071926}
{' 34': -2.2934825, ' 33': -2.3086452, ' 32': -2.401655, ' 36': -2.6023443, ' 30': -2.7284896}
{' 33': -2.1895216, ' 28': -2.3977344, ' 25': -2.46333, ' 32': -2.47867, ' 30': -2.595207}
{' 33': -2.2901533, ' 28': -2.3412387, ' 32': -2.3445194, ' 25': -2.520808, ' 30': -2.5675666}
{' 33': -2.4261334, ' 39': -2.5036814, ' 34': -2.5161953, ' 37': -2.546629, ' 40': -2.6888962}
{' 33': -2.116438, ' 34': -2.2753556, ' 32': -2.5022347, ' 37': -2.7328892, ' 36': -2.8876}
{' 26': -2.1178267, ' 28': -2.3568022, ' 24': -2.3574412, ' 25': -2.4381917, ' 30': -2.8044474}
{' 33': -2.111267, ' 34': -2.342969, ' 32': -2.5279417, ' 36': -2.7188034, ' 35': -2.7815561}
{' 33': -2.0872798, ' 32': -2.329652, ' 34': -2.4221168, ' 30': -2.8090022, ' 28': -2.843206}
{' 33': -2.3214877, ' 32': -2.447982, ' 34': -2.6572611, ' 30': -2.77652, ' 28': -2.8500834}
{' 28': -2.2801208, ' 30': -2.4825833, ' 32': -2.4948447, ' 24': -2.529856, ' 33': -2.5354102}
{' 33': -2.0958185, ' 32': -2.355301, ' 34': -2.4573603, ' 28': -2.6404028, ' 30': -2.7640953}
{' 33': -1.9626321, ' 34': -2.3642807, ' 32': -2.3893802, ' 28': -2.6879988, ' 25': -2.8456924}
{' 33': -2.1599443, ' 34': -2.322333, ' 32': -2.3411844, ' 36': -2.5820205, ' 30': -2.7583835}
{' 25': -2.469083, ' 28': -2.5116808, ' 24': -2.6111653, ' 30': -2.6256373, ' 33': -2.630113}
{' 33': -2.3558226, ' 36': -2.4931953, ' 40': -2.5423384, ' 34': -2.6523664, ' 37': -2.7405748}
{' 33': -2.0740538, ' 34': -2.2501316, ' 32': -2.3347912, ' 36': -2.5703611, ' 37': -2.6421413}
{' 33': -2.2065494, ' 34': -2.3884246, ' 37': -2.5665681, ' 36': -2.6253707, ' 40': -2.653749}
{' 33': -1.952741, ' 34': -2.1507943, ' 36': -2.5722182, ' 32': -2.6491685, ' 37': -2.6619754}
{' 33': -2.0918443, ' 34': -2.3884726, ' 36': -2.5664663, ' 37': -2.58333, ' 32': -2.7086935}
{' 33': -2.1979232, ' 34': -2.2513032, ' 37': -2.3915126, ' 32': -2.5094535, ' 36': -2.7466083}
{' 33': -2.2363243, ' 40': -2.4215736, ' 34': -2.4472332, ' 36': -2.562174, ' 32': -2.5764532}
{' 33': -2.2606423, ' 32': -2.3811765, ' 34': -2.599629, ' 28': -2.6634963, ' 30': -2.7225108}
{' 33': -2.173586, ' 34': -2.384451, ' 32': -2.5243921, ' 36': -2.704649, ' 37': -2.7844887}
{' 34': -2.4718468, ' 32': -2.6032097, ' 36': -2.6097891, ' 33': -2.7300065, ' 28': -2.9296227}
{' 28': -2.2860324, ' 33': -2.3996942, ' 25': -2.431379, ' 32': -2.4644928, ' 30': -2.4748821}
{' 33': -2.00495, ' 34': -2.2843301, ' 32': -2.3411689, ' 36': -2.7554414, ' 37': -2.8193717}
{' 33': -2.1583228, ' 34': -2.4381614, ' 36': -2.5231833, ' 37': -2.5311189, ' 32': -2.677505}
{' 33': -2.0869403, ' 32': -2.2979302, ' 34': -2.5657792, ' 28': -2.621019, ' 30': -2.6805968}
{' 33': -2.1541939, ' 34': -2.2700996, ' 36': -2.5816078, ' 37': -2.5841017, ' 32': -2.592184}
{' 33': -2.110976, ' 32': -2.2189443, ' 30': -2.3095767, ' 34': -2.4512737, ' 28': -2.788761}
{' 24': -2.1883411, ' 25': -2.3067074, ' 28': -2.3832388, ' 30': -2.569744, ' 27': -2.7480679}
{' 33': -1.7917008, ' 34': -2.0496373, ' 32': -2.371611, ' 37': -2.6932836, ' 35': -2.9046874}
{' 33': -2.232646, ' 34': -2.495638, ' 37': -2.5712585, ' 36': -2.5758495, ' 32': -2.6735933}
{' 33': -2.040248, ' 34': -2.3487685, ' 37': -2.5110483, ' 36': -2.563404, ' 32': -2.661314}
{' 33': -2.0940518, ' 34': -2.4581075, ' 32': -2.5228229, ' 36': -2.7823832, ' 28': -3.0344968}
{' 37': -2.1046023, ' 33': -2.267243, ' 34': -2.286551, ' 40': -2.5982506, ' 36': -2.6167378}
{' 43': -2.5688102, ' 33': -2.6051998, ' 39': -2.659703, ' 40': -2.6635904, ' 37': -2.6662064}
{' 27': -2.061058, ' 28': -2.3495731, ' 33': -2.5841045, ' 32': -2.6372015, ' 30': -2.6439524}
{' 25': -2.3568785, ' 28': -2.383466, ' 33': -2.4116595, ' 30': -2.5924666, ' 32': -2.727814}
{' 33': -2.3746612, ' 32': -2.4058702, ' 34': -2.434305, ' 28': -2.6608894, ' 30': -2.7041519}
{' 36': -2.1650271, ' 33': -2.2915072, ' 34': -2.4459252, ' 32': -2.6142843, ' 40': -2.690231}
{' 40': -2.5840273, ' 33': -2.6290035, ' 34': -2.7464197, ' 37': -2.908467, ' 36': -2.90903}
{' 34': -2.350795, ' 33': -2.355757, ' 37': -2.446212, ' 36': -2.451424, ' 38': -2.7204466}
{' 37': -2.2202914, ' 33': -2.3143866, ' 34': -2.4242973, ' 40': -2.5366118, ' 39': -2.7248278}
{' 33': -2.3009193, ' 40': -2.356719, ' 36': -2.376212, ' 34': -2.6243677, ' 37': -2.7183971}
{' 39': -2.4554765, ' 40': -2.4852228, ' 43': -2.5457764, ' 37': -2.7559545, ' 42': -2.79501}
{' 33': -2.0870783, ' 34': -2.345214, ' 36': -2.404321, ' 32': -2.6066468, ' 37': -2.6824782}
{' 33': -2.039183, ' 34': -2.3183157, ' 36': -2.3945143, ' 32': -2.5250237, ' 37': -2.6077476}
{' 33': -2.0456157, ' 32': -2.3917756, ' 34': -2.455646, ' 30': -2.511539, ' 36': -2.7679458}
{' 36': -2.1432545, ' 33': -2.3083756, ' 34': -2.416775, ' 32': -2.5464938, ' 37': -2.7243502}
{' 33': -2.4890969, ' 40': -2.5758374, ' 34': -2.587848, ' 36': -2.5885422, ' 39': -2.8210137}
{' 33': -2.117652, ' 34': -2.245985, ' 32': -2.4519768, ' 36': -2.6022224, ' 30': -2.819048}
{' 28': -2.4078474, ' 32': -2.484929, ' 33': -2.5069609, ' 30': -2.5166264, ' 25': -2.602228}
{' 33': -2.2929747, ' 36': -2.4830067, ' 34': -2.5293505, ' 37': -2.6807473, ' 40': -2.6836846}
{' 33': -2.2090828, ' 40': -2.3661845, ' 32': -2.4999745, ' 36': -2.6214325, ' 30': -2.6537669}
{' 33': -2.3358233, ' 34': -2.3767295, ' 32': -2.510282, ' 37': -2.5958617, ' 36': -2.6517644}
{' 33': -2.148237, ' 34': -2.3695028, ' 36': -2.608833, ' 40': -2.6283815, ' 32': -2.6948345}
{' 27': -2.2535763, ' 28': -2.504034, ' 33': -2.5422955, ' 32': -2.793147, ' 34': -2.8107462}
{' 33': -2.25261, ' 34': -2.4170825, ' 36': -2.5363786, ' 37': -2.6393783, ' 32': -2.6542163}
{' 33': -1.806781, ' 34': -2.2632315, ' 32': -2.3592312, ' 36': -2.8107681, ' 30': -2.9344895}
{' 33': -2.336642, ' 34': -2.526285, ' 36': -2.5684478, ' 32': -2.6962154, ' 40': -2.71185}
{' 33': -2.1185076, ' 30': -2.4459498, ' 34': -2.4639125, ' 32': -2.520445, ' 36': -2.6045468}
{' 33': -2.2020009, ' 32': -2.3911037, ' 34': -2.4285147, ' 36': -2.4926503, ' 40': -2.713129}
{' 33': -1.9036595, ' 34': -2.1861084, ' 32': -2.5460591, ' 37': -2.7255752, ' 36': -2.9474885}
{' 40': -2.5385876, ' 34': -2.5804024, ' 36': -2.7232094, ' 39': -2.7441645, ' 37': -2.7673054}
{' 32': -2.0783744, ' 34': -2.3649576, ' 33': -2.4016414, ' 36': -2.5190387, ' 40': -2.966041}
{' 33': -2.1596618, ' 34': -2.3521488, ' 36': -2.52898, ' 37': -2.6831377, ' 40': -2.711231}
{' 33': -2.0245593, ' 34': -2.361568, ' 32': -2.5173123, ' 36': -2.6280494, ' 37': -2.830771}
{' 33': -2.1766608, ' 30': -2.3013184, ' 32': -2.5118659, ' 34': -2.6021492, ' 25': -2.6860838}
{' 33': -2.226332, ' 34': -2.5872931, ' 32': -2.6145308, ' 36': -2.6486514, ' 40': -2.6723158}
{' 33': -2.1226232, ' 34': -2.2272775, ' 32': -2.4227512, ' 36': -2.736078, ' 37': -2.7392824}
{' 33': -2.3326757, ' 37': -2.5486588, ' 34': -2.5807426, ' 36': -2.6767373, ' 39': -2.765268}
{' 33': -2.1557605, ' 34': -2.5055873, ' 32': -2.5485344, ' 36': -2.6143959, ' 37': -2.8336227}
{' 42': -2.2593462, ' 43': -2.3965485, ' 40': -2.503793, ' 41': -2.7142088, ' 39': -2.7328238}
{' 33': -1.966101, ' 34': -2.4260056, ' 36': -2.4299674, ' 32': -2.5547144, ' 37': -2.606831}
{' 33': -2.0699918, ' 34': -2.1849096, ' 37': -2.3274095, ' 32': -2.6409607, ' 36': -2.7673998}
{' 32': -2.4961307, ' 33': -2.501709, ' 34': -2.6706505, ' 28': -2.6758003, ' 30': -2.696635}
{' 28': -1.9034369, ' 34': -2.6629367, ' 32': -2.694447, ' 36': -2.741114, ' 33': -2.9189951}
{' 33': -2.3837347, ' 37': -2.5464818, ' 40': -2.662589, ' 34': -2.6760738, ' 39': -2.680931}
{' 40': -2.350939, ' 45': -2.5690005, ' 43': -2.6296217, ' 42': -2.6682475, ' 39': -2.712147}
{' 33': -2.245704, ' 40': -2.3938153, ' 36': -2.421155, ' 34': -2.4570334, ' 37': -2.4892848}
{' 33': -2.2981396, ' 34': -2.4173536, ' 32': -2.5223598, ' 36': -2.8422928, ' 30': -2.8777084}
{' 33': -2.0722592, ' 30': -2.1770642, ' 32': -2.3113627, ' 28': -2.3531182, ' 25': -2.6272843}
{' 33': -2.326236, ' 32': -2.5358222, ' 34': -2.61618, ' 30': -2.7703147, ' 25': -2.8222153}
{' 33': -1.9530491, ' 34': -2.403763, ' 36': -2.4342835, ' 32': -2.5559497, ' 37': -2.76355}
