{' 37': -1.8922225, ' 36': -1.9215271, ' 34': -2.0395758, ' 35': -2.1291735, ' 33': -2.1524003}
{' 33': -2.1427863, ' 36': -2.3320754, ' 34': -2.3837152, ' 37': -2.4420218, ' 35': -2.5693498}
{' 34': -1.5901176, ' 36': -1.7341663, ' 33': -1.9225017, ' 32': -2.058921, ' 35': -2.36837}
{' 28': -1.8039988, ' 30': -1.9197797, ' 33': -2.044238, ' 32': -2.1959677, ' 29': -2.7182636}
{' 37': -1.9816468, ' 36': -2.0368981, ' 34': -2.198253, ' 35': -2.2892373, ' 33': -2.3215497}
{' 36': -2.19679, ' 40': -2.3455565, ' 33': -2.4615014, ' 34': -2.676284, ' 35': -2.8328686}
{' 40': -1.5076013, ' 36': -2.4412615, ' 38': -2.5588908, ' 35': -2.6322339, ' 37': -2.6901572}
{' 33': -1.9387583, ' 32': -2.4087844, ' 28': -2.4749827, ' 34': -2.4934332, ' 30': -2.5103736}
{' 33': -1.5355945, ' 36': -1.8677498, ' 34': -1.8985249, ' 32': -2.0190063, ' 35': -2.3876913}
{' 33': -2.0783603, ' 28': -2.2629538, ' 30': -2.322568, ' 32': -2.4362726, ' 34': -2.5135047}
{' 37': -1.8286264, ' 39': -2.0279806, ' 38': -2.1502397, ' 36': -2.1789472, ' 40': -2.3272703}
{' 30': -1.4997499, ' 28': -2.076927, ' 32': -2.3817892, ' 33': -2.4119241, ' 25': -2.861016}
{' 32': -1.1744007, ' 33': -1.7322124, ' 34': -2.078278, ' 36': -2.483499, ' 30': -2.5869877}
{' 36': -1.9261367, ' 40': -2.3643377, ' 34': -2.412048, ' 32': -2.4384937, ' 33': -2.6014154}
{' 44': -2.0138476, ' 45': -2.0239394, ' 43': -2.2211967, ' 48': -2.3103592, ' 46': -2.3419154}
{' 33': -2.0279813, ' 36': -2.190562, ' 32': -2.2784574, ' 34': -2.3014102, ' 37': -2.6438289}
{' 35': -1.3706286, ' 36': -1.9324344, ' 37': -2.054146, ' 33': -2.1159558, ' 34': -2.156298}
{' 28': -1.8714024, ' 30': -1.9799602, ' 29': -2.145436, ' 33': -2.159806, ' 32': -2.3539846}
{' 36': -1.5821872, ' 34': -1.6907591, ' 33': -2.0296626, ' 32': -2.2675948, ' 35': -2.3638225}
{' 33': -1.8909879, ' 34': -2.3331218, ' 35': -2.4795585, ' 32': -2.4960742, ' 30': -2.6174788}
{' 40': -1.6054381, ' 36': -2.301006, ' 38': -2.4735518, ' 37': -2.5238645, ' 44': -2.5904512}
{' 28': -1.5166081, ' 30': -1.6994104, ' 25': -2.4127042, ' 27': -2.5330515, ' 29': -2.6145506}
